# Number of Traces
8257
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
14;0;25;6.1400786517880079e-01;2.5394355637029908e-01;4.1026151062912053e-01;7.3801849727447000e-01;8.8822705833540128e-01;7.1575364390421492e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
15;0;26;4.1214775570511991e-01;3.3754492262866742e-01;7.1575364390421536e-01;1.2167662632580092e+00;1.0578259344637151e+00;2.5582791889831002e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
16;0;28;4.2260710331222456e-01;3.5521995491490793e-01;7.1575364390421514e-01;7.9451118965859713e-01;1.4362359683984474e-01;1.1151029967997397e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
17;0;30;5.7403650178584775e-01;6.1111732133279584e-01;7.1575364390421525e-01;1.0475053817602296e+00;5.9617088837425902e-01;1.2950498735934898e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
18;0;34;6.7937235502902704e-01;1.1886689283009927e-01;2.3365377219778832e-01;7.3629201080148621e-01;1.0346418874015736e-01;1.5338951415290220e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
19;0;36;7.4468804137430211e-01;8.0215791286502192e-02;1.2646213875909967e-01;7.5277619156484987e-01;5.6081350219676585e-01;4.6231440723778477e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
20;0;38;7.6148085806529353e-01;9.2787561004885111e-01;7.1575364390421492e-01;1.0681508547930536e+00;1.1792310457582955e+00;5.2379290312599946e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
21;0;40;6.4789227538993788e-01;1.3749549221890400e-01;2.8531672402617531e-01;8.3665327654060950e-01;5.3154888978243131e-01;3.3931302240246641e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
22;0;41;4.6290854937686288e-01;3.5327508470205604e-01;6.6536862390274687e-01;4.9502299103976771e-01;2.2795716479601316e-01;5.3619532928917413e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
23;0;42;7.2578956895742885e-01;8.6756164869904784e-01;7.1575364390421503e-01;9.8842882855904812e-01;8.8928076430958147e-01;4.1213959584631771e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
24;0;45;4.6073800030592721e-01;2.6331944010692521e-01;6.0330379519617283e-01;4.9858674151224286e-01;4.8361635292447452e-01;7.1575364390421514e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
25;0;46;4.5921008186873075e-01;4.1707456115434210e-01;7.1575364390421492e-01;6.7321281126453614e-01;3.6549069272237528e-01;4.1853172506897746e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
26;0;47;8.3124025173977567e-01;2.0569126898482717e-01;1.1151029967997422e-01;9.6689638286310342e-01;7.7037010387665616e-01;3.5278230747569489e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
27;0;49;6.2009043828382715e-01;6.8894290329905039e-01;7.1575364390421536e-01;8.9115998556464204e-01;3.0694837121729057e-01;1.1151029967997420e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
28;0;51;7.5243417681835589e-01;7.5631951103978662e-02;1.1374971150699717e-01;1.3057008128945302e+00;1.0140384370991042e+00;1.1623323062822730e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
29;0;52;4.8971293468948024e-01;3.8047406876901163e-01;6.5235171712019557e-01;9.2750722944224695e-01;5.7972734573731011e-01;2.6353439958262059e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
30;0;53;4.5025524385634197e-01;2.5444885215451002e-01;6.0966509152353787e-01;6.1566768522490545e-01;4.5252655529004088e-01;5.5108039216721638e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
31;0;56;8.0230879101508490e-01;8.1929571818344671e-01;5.8802845855067276e-01;1.1009971655759716e+00;6.6154782338911400e-01;1.1151029967997421e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
32;0;58;5.7470586577934479e-01;5.9702908671625921e-01;7.0480667967075483e-01;6.6830759762213521e-01;1.2541455520676489e-01;2.5181249464889793e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
33;0;61;5.7860394970629792e-01;5.0918578850802299e-01;6.3688483549788688e-01;7.7412515606084142e-01;9.4924294419848265e-01;7.1575364390421548e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
34;0;62;8.2591853851540609e-01;1.0367674955840986e+00;7.1575364390421525e-01;1.1114428911667822e+00;1.0731223255681754e+00;3.9485007719616444e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
35;0;66;6.5751570729980313e-01;1.3180074621287052e-01;2.6952340631913274e-01;9.2815509361272908e-01;5.8458092478719204e-01;2.6623799794250974e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
36;0;67;5.1076025812508730e-01;5.0418812348337294e-01;7.1575364390421536e-01;5.9198261537874397e-01;3.7792626002156604e-01;5.2621107347354201e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
37;0;68;4.5694751055255201e-01;2.5048864758336453e-01;5.9868220152094398e-01;6.4416312648959395e-01;5.5929405895637119e-01;5.9323990410901795e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
38;0;70;5.8538320847010394e-01;1.7448575333538660e-01;3.8790232578262074e-01;7.9224290529040842e-01;1.3979047063081868e-01;1.1151029967997415e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
39;0;71;4.3408682671208693e-01;3.7461929886556289e-01;7.1575364390421525e-01;4.8367055668686959e-01;2.3467506240213123e-01;5.5482616745199831e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
40;0;72;5.3060963992396781e-01;2.7892940754594475e-01;5.2960322612454913e-01;8.0981665044507556e-01;1.6948797421009715e-01;1.1151029967997399e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
41;0;74;7.3555175676809537e-01;3.4128557453270625e-01;3.2534897661125778e-01;1.1106658213422680e+00;6.7788668210701009e-01;1.1151029967997400e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
42;0;77;4.7566837807093887e-01;2.3941041826472373e-01;5.6795879523111126e-01;5.6704793571500867e-01;4.7600610629056583e-01;6.2706567211464581e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
43;0;78;5.8591288076162573e-01;6.3118696522702122e-01;7.1575364390421536e-01;7.4285674841191218e-01;1.5985635895093966e-01;1.8597176982769900e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
44;0;80;4.5990212737786290e-01;2.4874022846190266e-01;5.9383328663675694e-01;5.7922953315880799e-01;4.1602525865923978e-01;5.6911612439941339e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
45;0;81;5.5217722780195388e-01;5.7417779241259193e-01;7.1575364390421514e-01;1.0460020681958941e+00;1.1923377747499946e+00;5.6014197555990308e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
46;0;82;3.9918213328713642e-01;2.8467179082689104e-01;6.9348278453173440e-01;1.1037232781038391e+00;1.0128148919506355e+00;3.6085540151840206e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
47;0;83;3.8561480850922708e-01;2.9270036829439067e-01;7.1574854924634634e-01;3.8561854300013310e-01;2.9271376214876443e-01;7.1575364390421536e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
48;0;84;4.6764066725990555e-01;3.9967143104307024e-01;6.9298863953854462e-01;1.2335192439818998e+00;1.0813729237621310e+00;2.5240162259083837e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
49;0;87;9.7872054527794738e-01;9.5487024733862913e-01;4.7111701600720896e-01;1.1493328488023657e+00;1.1311909244713736e+00;3.9056257163002778e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
50;0;89;4.7976406760996304e-01;2.3698675985857839e-01;5.6123722991791880e-01;9.7319716815917778e-01;9.4499163382753770e-01;4.7072517184809326e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
51;0;93;6.4962210726208747e-01;1.3647184979722959e-01;2.8247784236810253e-01;7.3833731490475396e-01;2.6746431523684855e-01;2.6886514353338847e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
52;0;94;6.8412614238798486e-01;7.9715549743296554e-01;7.1575364390421503e-01;1.0552811690117907e+00;9.5901870826987512e-01;3.8104202548579397e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
53;0;95;7.2735692078187564e-01;4.2108041495289128e-01;3.9270441342760476e-01;7.5560491138208563e-01;7.7876692682295315e-02;1.1151029967997395e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
54;0;97;4.7794522265236733e-01;4.0165787753867643e-01;6.8189233386474868e-01;4.8304406972387282e-01;4.5735111765422903e-01;7.1575364390421525e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
55;0;99;4.3736719039440658e-01;2.6207546516173308e-01;6.3081608265187261e-01;6.0590566149356662e-01;6.6497234632371127e-01;7.1575364390421525e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
56;0;104;6.4379311601628986e-01;1.3992120392859544e-01;2.9204398379443514e-01;9.4404850038007637e-01;3.9632356382482520e-01;1.1151029967997389e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
57;0;105;7.0064062951260753e-01;1.0628121421720917e-01;1.9874973597185200e-01;8.2608499433578841e-01;5.7671735654582945e-01;3.8464737747642186e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
58;0;106;6.6671161716266880e-01;7.6772705627493953e-01;7.1575364390421525e-01;7.9690654027867414e-01;7.2261267759488801e-01;5.2505287207460338e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
59;0;108;4.5339337923098560e-01;2.5259183440257643e-01;6.0451499855840274e-01;9.8286604022835267e-01;1.2296990452897065e+00;6.6375650287109089e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
60;0;109;5.0351666790788141e-01;4.9194733220587017e-01;7.1575364390421525e-01;7.6195567066706749e-01;3.3734844793145341e-01;2.9042332076620780e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
61;0;113;1.0353684143804802e+00;9.2633469347688768e-01;3.8173694288061477e-01;1.0825482329761225e+00;1.1707112772730701e+00;5.0016491158167942e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
62;0;116;7.0963191671823556e-01;6.8091805801710459e-01;6.0114452665388285e-01;9.2608885309780709e-01;3.6597393232888137e-01;1.1151029967997411e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
63;0;123;6.8651846328407629e-01;8.0119823037060467e-01;7.1575364390421492e-01;1.0967946019917179e+00;9.4937450625002251e-01;3.2364588418323764e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
64;0;125;6.4573052648424289e-01;7.3227155091532936e-01;7.1575364390421536e-01;7.3882860075623125e-01;8.1036881148903905e-01;6.5876724544071641e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
65;0;127;4.0621087192645827e-01;3.2751230717220908e-01;7.1575364390421525e-01;4.1779376281416175e-01;3.3604664583576899e-01;7.0781328537097898e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
66;0;129;9.5142904407367879e-01;9.8037851685226340e-01;5.2263717620978623e-01;1.0555261195792174e+00;5.8470725586310068e-01;1.1151029967997411e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
67;0;131;9.7549621958979116e-01;4.4946640535184157e-01;1.1151029967997407e-01;9.8766623032037848e-01;7.9553658402813310e-01;3.4563840269161800e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
68;0;134;4.5589060408974408e-01;4.1146504523413330e-01;7.1575364390421503e-01;5.7971813774315750e-01;5.2123676095768035e-01;6.4419854723182390e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
69;0;136;5.1039895427870985e-01;4.7780014463088538e-01;6.9721251366734205e-01;1.0295097957430017e+00;5.4074281553203629e-01;1.1151029967997422e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
70;0;138;4.9180529106190018e-01;4.7215652195223229e-01;7.1575364390421514e-01;5.9844288362252251e-01;3.1168838898502899e-01;4.7071522099132640e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
71;0;139;4.4062993349789775e-01;2.6014470974813952e-01;6.2546149201180468e-01;4.5547204959430199e-01;4.1075773876547134e-01;7.1575364390421536e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
72;0;140;6.2950700821642325e-01;2.1165625143182293e-01;3.6100608599252199e-01;1.2525508490465527e+00;1.0701108129117147e+00;2.2116825511068861e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
73;0;141;7.9487238417600148e-01;6.5070664648984389e-01;4.7580494845789867e-01;9.7712411779959651e-01;5.2238226229678253e-01;1.6197837234494469e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
74;0;143;4.7105997242132108e-01;2.4213748070078023e-01;5.7552179512855228e-01;6.6499278119169070e-01;6.0811221546900551e-01;6.0303543434771123e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
75;0;145;4.3591546969136225e-01;3.7770948430664553e-01;7.1575364390421536e-01;6.4421017232865607e-01;4.6877484175809497e-01;5.2807423937769782e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
76;0;149;5.4543304716448093e-01;5.6278094291591729e-01;7.1575364390421514e-01;9.6951327090656481e-01;6.8389315848635956e-01;2.8740053519125836e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
77;0;150;3.9814470755727754e-01;3.1388146507699544e-01;7.1575364390421536e-01;6.3288938529205219e-01;3.7275865730108193e-01;4.7277224612099206e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
78;0;152;8.1342275871882141e-01;1.0156511392258527e+00;7.1575364390421470e-01;1.0710021338989684e+00;7.6889683150313537e-01;2.2518282390237312e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
79;0;154;4.6581109993842035e-01;2.4524354472119830e-01;5.8413588535152361e-01;9.8467331412103298e-01;6.7567667008374555e-01;2.6306367247892304e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
80;0;157;1.0897934637536721e+00;6.4261492251678354e-01;1.1151029967997425e-01;1.0912191246246554e+00;6.5216595602693184e-01;1.1664726736314542e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
81;0;161;4.0588951246894955e-01;2.8070264331648703e-01;6.8247509295224862e-01;8.7111950454015807e-01;2.7308238239606153e-01;1.1151029967997426e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
82;0;165;5.3582950798061724e-01;3.4087407593407615e-01;5.6781395080728980e-01;6.7804256214358871e-01;5.4457496151049312e-01;5.4147257102189028e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
83;0;166;7.8553679418794720e-01;8.3327836194849547e-01;6.1847210793366802e-01;7.9794512360583847e-01;7.7877931567367420e-01;5.6418990821203463e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
84;0;167;9.2900640421804093e-01;1.2109735190435411e+00;7.1575364390421481e-01;1.0660507752896222e+00;1.1804737853003358e+00;5.2723940985233131e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
85;0;168;4.7334268917861294e-01;4.4095695801829699e-01;7.1575364390421525e-01;5.5522800047894660e-01;1.9233034888894507e-01;4.3739098895257250e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
86;0;172;7.1879419386310173e-01;9.5538691274404161e-02;1.6895734880811228e-01;8.8990886622142706e-01;3.0483413086350036e-01;1.1151029967997407e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
87;0;176;5.6794328675796091e-01;6.0082052497508098e-01;7.1575364390421514e-01;1.0111935298465800e+00;9.7435062371625092e-01;4.4565814297787559e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
88;0;177;5.9404608629690236e-01;2.2427721074724274e-01;4.1318655967108059e-01;8.0970493009856737e-01;1.6929918033826713e-01;1.1151029967997389e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
89;0;178;4.0549369383277312e-01;2.8093687229203257e-01;6.8312468340335297e-01;7.6532473101641008e-01;8.7327423351683731e-01;6.7180787548107512e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
90;0;180;5.1622367319980833e-01;2.1541148450369327e-01;5.0140222095779963e-01;7.2542112669065750e-01;8.5246812278772011e-01;7.0534504180678970e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
91;0;182;4.0625582418973261e-01;2.8048587530394953e-01;6.8187392723087992e-01;9.1988961707905792e-01;4.9535123791310071e-01;2.1210367511661449e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
92;0;184;7.9411668632881316e-01;8.2692035320987600e-01;6.0347013501894964e-01;1.2077645530620924e+00;1.0966134766777544e+00;2.9466845836760669e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
93;0;186;6.6084718608668225e-01;7.5781687712207535e-01;7.1575364390421525e-01;9.6132663822658970e-01;1.0204690114037780e+00;5.3944293219558459e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
94;0;187;7.9638851152626244e-01;9.8686532194449872e-01;7.1575364390421503e-01;9.1558810535951585e-01;8.0872261013075097e-01;4.4273326325240775e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
95;0;188;5.3397692903680305e-01;5.4342148901994414e-01;7.1575364390421536e-01;7.6429970694918192e-01;7.6206683482753257e-01;5.9306475034889838e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
96;0;190;8.4164195726170765e-01;1.0633381713499748e+00;7.1575364390421514e-01;1.1311286574515691e+00;8.5141608700077764e-01;2.1145375168844371e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
97;0;191;1.0938440800789995e+00;1.0779845974207884e+00;4.1973863056033650e-01;1.3152638873367231e+00;1.0236326653170926e+00;1.1151029967997413e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
98;0;192;8.8996437323821553e-01;5.4678555409036778e-01;2.8547316534437955e-01;8.9142110177448819e-01;5.6513505856597990e-01;2.9690091703936217e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
99;0;194;5.7653527057746379e-01;6.1533993833786227e-01;7.1575364390421514e-01;8.7193771857070124e-01;5.6301275970099907e-01;3.1905630624200981e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
100;0;195;5.5814788173459695e-01;1.9060248483021333e-01;4.3259907970759265e-01;7.4015160199379149e-01;3.2109500893417720e-01;3.0523526834624048e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
101;0;197;5.1173598302362078e-01;2.1806711255266018e-01;5.0876711088346627e-01;6.3659304160641561e-01;7.1150268643030201e-01;7.1192160385580572e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
102;0;198;5.5447740292451231e-01;2.2614581366465422e-01;4.6262605450633643e-01;7.8631175155921951e-01;1.2976753826147897e-01;1.1151029967997411e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
103;0;199;1.0045981052961852e+00;4.9864507201185498e-01;1.1151029967997415e-01;1.0637266098106830e+00;6.4995433467139663e-01;1.4847345069782417e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
104;1;3;9.0833064274124709e-01;5.8617470396965066e-01;6.0034976724476630e-01;1.0074421689802229e+00;2.5572526873587847e-01;-1.8300184682622966e-02
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
105;1;4;9.2930881189306258e-01;5.4973552460102226e-01;6.0034976724476585e-01;9.8002591161798447e-01;4.4415945783949862e-01;5.3203220859315392e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
106;1;7;5.5018172788006636e-01;9.5220633646126684e-01;-4.0046124503719061e-01;1.0513675325488929e+00;1.0285566950128074e-01;-3.1756100457425790e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
107;1;8;7.2601640624086627e-01;6.8464024866167084e-01;-2.5249550396117171e-01;1.1248085303890278e+00;6.8164195004706385e-02;4.5423698938374370e-02
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
108;1;9;6.4453217330443080e-01;1.0443938972373330e+00;6.0034976724476596e-01;1.0008007409383830e+00;2.5804170317227193e-01;-5.4333552152713571e-02
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
109;1;10;8.2692755996217771e-01;6.1932841614707324e-01;1.7730288931006050e-01;9.4428764653593522e-01;4.5197663706611746e-01;3.1996769850951046e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
110;1;11;1.1277286020286388e+00;2.0507940753418885e-01;6.0034976724476596e-01;1.2834715276945601e+00;-1.1386111456671155e-01;4.1113318452967546e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
111;1;12;9.3649539747520827e-01;5.3725239134088398e-01;6.0034976724476596e-01;1.0034650860623116e+00;2.8982722107082776e-01;8.7980488365449486e-02
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
112;1;17;9.7118576435348969e-01;3.1999543172511036e-01;-1.3248282786203127e-02;1.1067995809729627e+00;2.4143321642659124e-01;6.0034976724476630e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
113;1;18;8.6661696242010544e-01;5.6874744952456613e-01;2.4905773832315853e-01;1.0663796977220177e+00;1.2414373475135353e-01;-1.3244832286614960e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
114;1;19;9.7801377934439904e-01;3.6090615509119189e-01;1.9299547775080828e-01;1.0092410830848417e+00;4.1089279022221836e-01;6.0034976724476641e-01
