# Number of Traces
8257
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
0;0;1;7.8302285504736480e-01;8.0383492584217109e-01;6.0034976724476630e-01;9.4484545065182568e-01;3.9767031338443620e-01;1.1151029967997422e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
1;0;2;5.2033811142091524e-01;5.2037353700970479e-01;7.1575364390421514e-01;5.5640767590318740e-01;4.0158764875456815e-01;5.8647127258160192e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
2;0;7;7.0742458730741475e-01;1.0226675067458516e-01;1.8761636881468155e-01;7.6494720609248235e-01;9.3664040692573766e-02;1.1151029967997403e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
3;0;8;1.1056296468426841e+00;6.6937615638178871e-01;1.1151029967997406e-01;1.2174917013096800e+00;1.0908573556648067e+00;2.7870492850668871e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
4;0;9;8.6243475786109869e-01;1.0073887528205492e+00;6.5023695895702471e-01;9.6690580485912370e-01;4.3494964355939375e-01;1.1151029967997417e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
5;0;10;5.1316862652088302e-01;2.1721933382771955e-01;5.0641595444311227e-01;9.4137401544345745e-01;5.5811137268008404e-01;2.3113152727958164e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
6;0;12;5.4668715693823067e-01;2.4504504585399789e-01;4.8568884423329717e-01;8.2810199439198373e-01;2.0038799367279198e-01;1.1151029967997404e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
7;0;14;7.9989063190070431e-01;9.9278348175845399e-01;7.1575364390421459e-01;9.6483648494712526e-01;8.1178140308734437e-01;3.8507233474214042e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
8;0;16;4.8013640793848733e-01;4.5243752094966488e-01;7.1575364390421525e-01;4.8582549801466784e-01;2.3339985791846540e-01;5.5128962525491987e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
9;0;18;9.7396926933660521e-01;4.4688604412489336e-01;1.1151029967997417e-01;1.0161901679793242e+00;6.2073638195545244e-01;1.8523782326151045e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
10;0;19;1.0680173096882830e+00;7.1910331792473392e-01;1.9299547775080825e-01;1.1595941553983038e+00;1.0592430566084636e+00;3.2633950932934258e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
11;0;20;4.3040076405691097e-01;2.6619790598464893e-01;6.4224890469096096e-01;7.5706957473789571e-01;9.2042107481736557e-01;7.1575364390421503e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
12;0;22;7.1372514142270005e-01;9.8538345286582354e-02;1.7727633068638046e-01;7.9738052179470542e-01;4.8366834054361829e-01;3.5260934781750480e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
13;0;23;5.9208647757478039e-01;1.7051903799736959e-01;3.7690137938038826e-01;9.7827791996053948e-01;4.5416714250204626e-01;1.1151029967997408e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
