# FractureId; NumTraces 
0;7
# TraceId; Tips; Length 
0;0;1.1473957185925596e+00
2;1;1.9513594410706853e-01
4;1;5.8966071087312655e-01
3;1;5.9551847675105107e-01
1;1;6.1366825120271762e-01
5;1;6.7462845794140658e-01
6;1;9.0989550030166066e-01
# FractureId; NumTraces 
1;29
# TraceId; Tips; Length 
23;0;1.9140426181843201e-01
13;1;1.6821933468357447e-02
21;1;5.1417338679941083e-02
18;1;2.0089174526292330e-01
33;1;2.0633148945173202e-01
27;1;2.3329951038825086e-01
14;1;2.3812562268607917e-01
24;1;3.5830277595410842e-01
8;1;3.8707110378009418e-01
22;1;4.1152862426689812e-01
34;1;4.6272899194173883e-01
19;1;4.8320181662929579e-01
35;1;5.4325756927376312e-01
11;1;5.7187185975668364e-01
16;1;5.7680650603828232e-01
10;1;5.8336506175271730e-01
12;1;6.0434944652505473e-01
17;1;6.2346359685867270e-01
20;1;6.5807996141130876e-01
15;1;6.7926535584930492e-01
30;1;8.8595405668829907e-01
28;1;9.2062341916576118e-01
31;1;1.1083392794319398e+00
7;1;1.1207244511006256e+00
26;1;1.2410277575752677e+00
32;1;1.3990181316081653e+00
25;1;1.4299465986885034e+00
9;1;1.4848605528113672e+00
29;1;1.5248394156817537e+00
# FractureId; NumTraces 
2;6
# TraceId; Tips; Length 
37;1;2.5432140917429802e-01
40;1;6.0084311599067142e-01
39;1;6.5005334228868783e-01
36;1;8.7739910639015817e-01
38;1;8.9671331368820284e-01
0;1;1.1473957185925596e+00
# FractureId; NumTraces 
3;27
# TraceId; Tips; Length 
44;0;2.5076561470689562e-01
41;0;2.7968291177409671e-01
58;0;3.4435390297789581e-01
48;0;5.5468315981026839e-01
53;0;8.3329069879275341e-01
63;0;8.3656080676846090e-01
65;0;1.0311859773317482e+00
55;1;1.8980338762175547e-01
49;1;2.6484168780556239e-01
46;1;3.6186385383291686e-01
60;1;4.3543407582740540e-01
62;1;4.6525332526096513e-01
51;1;4.8187986893804802e-01
54;1;5.2204185131148473e-01
47;1;5.3572419618883194e-01
59;1;5.6490226717196113e-01
50;1;6.0287808084447625e-01
42;1;7.1513012671130338e-01
57;1;7.8480616707431139e-01
66;1;8.2510692285232545e-01
43;1;8.3504869234029488e-01
61;1;8.4859536071506492e-01
45;1;9.5557238835287384e-01
64;1;9.9240327699232889e-01
52;1;1.0762017333969651e+00
56;1;1.1017055984337727e+00
7;1;1.1207244511006256e+00
# FractureId; NumTraces 
4;22
# TraceId; Tips; Length 
8;0;3.8707110378009418e-01
68;1;8.5058288792148939e-02
76;1;9.7136178904159098e-02
75;1;2.1035556109146336e-01
73;1;2.2634415479667341e-01
74;1;2.6077067646670204e-01
70;1;3.5741546811416824e-01
81;1;5.0078654324617322e-01
67;1;5.6775799914608838e-01
80;1;5.8492576928716589e-01
82;1;7.0002574767106385e-01
69;1;7.2687063149988562e-01
85;1;7.3692969744017900e-01
71;1;7.7327887583890320e-01
72;1;7.9386581781624133e-01
87;1;9.3642088091309417e-01
79;1;9.7437248562773837e-01
77;1;1.0348555299622868e+00
84;1;1.0608466251472741e+00
86;1;1.2143043372551712e+00
78;1;1.3245787032017891e+00
83;1;1.3292951259064609e+00
# FractureId; NumTraces 
5;18
# TraceId; Tips; Length 
90;0;2.4422010414312878e-01
94;1;1.1180834272058243e-01
95;1;1.2296600694978183e-01
102;1;2.0201462268865278e-01
91;1;2.4504639999686417e-01
89;1;3.0306705176543208e-01
103;1;3.2995875806713565e-01
101;1;3.5944876971611023e-01
93;1;5.0142585708239573e-01
92;1;5.1323932360998004e-01
100;1;5.3045234784717732e-01
67;1;5.6775799914608838e-01
97;1;5.7501245931976008e-01
88;1;6.9290676084317204e-01
98;1;7.0433123243615881e-01
99;1;7.5482005657402629e-01
96;1;1.2555067293294833e+00
9;1;1.4848605528113672e+00
# FractureId; NumTraces 
6;7
# TraceId; Tips; Length 
104;1;1.1902541357732166e-02
107;1;5.6863801547550039e-02
105;1;1.8691285052083473e-01
106;1;2.2224496798303592e-01
108;1;2.5838337168783954e-01
1;1;6.1366825120271762e-01
36;1;8.7739910639015817e-01
# FractureId; NumTraces 
7;22
# TraceId; Tips; Length 
123;0;7.2855025100957604e-01
119;0;1.0670389834802512e+00
116;0;1.2106362670431099e+00
120;1;1.5766278832270261e-02
112;1;7.1647946811879498e-02
121;1;1.7813554456793415e-01
127;1;1.7827735425416982e-01
111;1;1.8674085963157966e-01
41;1;2.7968291177409671e-01
128;1;2.8860080582605030e-01
122;1;3.3273777015829437e-01
117;1;4.1633136314870628e-01
114;1;5.3151265879313581e-01
110;1;5.7222456573214020e-01
10;1;5.8336506175271730e-01
125;1;7.5313173236960029e-01
124;1;8.0554497273622272e-01
109;1;8.4301569588668601e-01
118;1;8.7384468715730068e-01
126;1;1.2677189665261088e+00
113;1;1.3152586897026499e+00
115;1;1.4378027896249259e+00
# FractureId; NumTraces 
8;8
# TraceId; Tips; Length 
134;1;1.1093357538615964e-01
2;1;1.9513594410706853e-01
135;1;2.3085724965544047e-01
131;1;3.4959355805362935e-01
132;1;4.8642085656191197e-01
133;1;4.9572449151484993e-01
130;1;5.5141927672249291e-01
129;1;1.0219580335552223e+00
# FractureId; NumTraces 
9;20
# TraceId; Tips; Length 
148;0;1.6717994028761951e-01
139;0;3.7316134161074355e-01
141;0;5.7656121409184591e-01
137;0;7.7627643327576712e-01
143;0;9.6802965318288847e-01
68;1;8.5058288792148939e-02
138;1;1.3880297542268680e-01
149;1;2.2098735207388656e-01
146;1;3.5137421296658072e-01
136;1;4.0332684384044798e-01
140;1;5.1394761944333900e-01
142;1;5.3593286503982496e-01
150;1;5.6610403507564211e-01
11;1;5.7187185975668364e-01
145;1;5.9224020852189163e-01
151;1;6.2635531743941164e-01
42;1;7.1513012671130338e-01
144;1;8.2454419195589990e-01
109;1;8.4301569588668601e-01
147;1;8.6651492054530910e-01
# FractureId; NumTraces 
10;17
# TraceId; Tips; Length 
163;0;1.6021661932570659e+00
157;1;1.3676792072031541e-02
160;1;5.4640008191411460e-02
153;1;5.0994267454294684e-01
162;1;5.7119270968259295e-01
159;1;5.7480401464478259e-01
12;1;6.0434944652505473e-01
88;1;6.9290676084317204e-01
69;1;7.2687063149988562e-01
154;1;7.4961039472958335e-01
43;1;8.3504869234029488e-01
161;1;9.3585053443593913e-01
158;1;1.1298328643170148e+00
164;1;1.1521309926251693e+00
156;1;1.4291052511686133e+00
155;1;1.4948438516768636e+00
152;1;1.7332158271800904e+00
# FractureId; NumTraces 
11;22
# TraceId; Tips; Length 
167;0;1.5917485872681844e-01
110;0;5.7222456573214020e-01
3;0;5.9551847675105107e-01
174;0;8.0196503662091267e-01
178;0;1.5268269211245828e+00
13;1;1.6821933468357447e-02
181;1;2.7239876684599554e-02
175;1;4.7312727855076883e-02
171;1;5.7788913641738403e-02
168;1;1.6684197538253803e-01
179;1;1.9229870773404245e-01
176;1;3.5839734444518545e-01
136;1;4.0332684384044798e-01
177;1;4.3653074917665702e-01
172;1;4.6333900891689889e-01
173;1;6.1729428001897613e-01
182;1;8.2524458656587896e-01
170;1;9.2112117005634775e-01
180;1;9.6347625184931429e-01
165;1;9.9222426306541034e-01
166;1;1.2151290574714579e+00
169;1;1.2699567279268946e+00
# FractureId; NumTraces 
12;15
# TraceId; Tips; Length 
186;0;6.5271395450743031e-01
183;0;9.2115009810560866e-01
189;1;1.1010518294492275e-02
104;1;1.1902541357732166e-02
111;1;1.8674085963157966e-01
190;1;2.2654657220583840e-01
185;1;4.2008406020972244e-01
187;1;5.2654549059365952e-01
192;1;5.4089238895066161e-01
188;1;5.4269064205436535e-01
193;1;5.7263843153209670e-01
184;1;7.8492956733166974e-01
165;1;9.9222426306541034e-01
129;1;1.0219580335552223e+00
191;1;1.5946064836465825e+00
# FractureId; NumTraces 
13;17
# TraceId; Tips; Length 
195;0;5.8759299357138625e-04
196;0;1.2021144550033369e-01
207;0;9.6229268283893388e-01
198;0;1.2684015899412877e+00
112;1;7.1647946811879498e-02
203;1;9.0761449119419163e-02
205;1;2.1374074967512108e-01
44;1;2.5076561470689562e-01
70;1;3.5741546811416824e-01
